reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
1c4e3bc2-7f12-4634-8207-a54ac3375906,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,4,0,3.6.2,2026-04-11 23:04:10,"Hey, thank you for taking the time to share your feedback. Happy shopping!!",2026-04-12 04:42:17,3.6.2
9d72755a-1342-470b-b8e8-fc5f719cc381,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,upi payment and credit and debit payment also not working,1,0,3.9.6,2026-04-11 22:13:01,"Hi, we would not want any of our customers to feel this way. We'd like to know what went wrong and help you with it. Can you please mail us  at support@nykaa.com so that we can have this addressed for you.

",2026-04-12 04:42:58,3.9.6
4dc0a8c3-7754-48e9-b42a-388e38ec06d0,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,i love love 💕💕 my favourite nykaa app,5,0,3.9.4,2026-04-11 21:07:05,"Hey Yane brah Brah yane, your feedback means a lot to us. We're committed to continuously bringing you products and services that will keep you thrilled. Keep exploring and happy shopping!",2026-04-11 21:13:18,3.9.4
801568f6-c03e-4c06-9cdd-8970cf7d69bb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I love nykaa,5,0,3.9.5,2026-04-11 20:57:49,"Hey Kabita Jena, your feedback means a lot to us. We're committed to continuously bringing you products and services that will keep you thrilled. Keep exploring and happy shopping!",2026-04-11 21:04:12,3.9.5
b7e96244-d467-4807-9d9c-5050eca32152,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sells fake chinese product . Got one product for my wife which mentioned made in india but when I checked the product it was made in china . Also Nykaa refused to take back product . please don't forget nykaa they sell all copy products,1,0,,2026-04-11 20:31:38,"Hi kalpesh solanki! We are sorry to hear about this. Please highlight this concern to us at support@nykaa.com, so the team can assist you with this.",2026-04-11 20:38:31,
74a6d024-3075-4853-b169-88157cac2275,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,thanxx,5,0,3.9.5,2026-04-11 20:02:25,"Hi, thank you for the amazing stars!
",2026-04-12 04:24:38,3.9.5
0289f4ee-1cfc-4613-b58b-011dba4d86ab,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,3.9.6,2026-04-11 19:32:44,"Hi vijay sathish, we are grateful for your feedback and will continue to strive to provide our customers with the highest quality of service and products. Keep exploring!",2026-04-11 19:38:48,3.9.6
50a7dfcf-54b4-4ae8-94b8-a27d66412c55,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Nykaa is a good app for cosmetics,5,0,3.9.4,2026-04-11 19:13:16,"Hi Shalini Prajapati, we are grateful for your feedback and will continue to strive to provide our customers with the highest quality of service and products. Keep exploring!",2026-04-11 19:20:21,3.9.4
dd800dad-b7c8-413e-b30e-fa517f32910b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,4,0,3.9.5,2026-04-11 18:56:58,"Hi Sejal Raghuvanshi, we are grateful for your feedback and will continue to strive to provide our customers with the highest quality of service and products. Keep exploring!",2026-04-11 19:01:51,3.9.5
80966619-e76d-4a0a-9825-f927f0b13b62,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good service original products and nice packaging,4,0,3.9.4,2026-04-11 18:45:13,"Hi Filza Khan, we are grateful for your feedback and will continue to strive to provide our customers with the highest quality of service and products. Keep exploring!",2026-04-11 18:52:43,3.9.4
